stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\danis\source\repos\DanielBaptista24285611\PI---Grupo-Austr-lia\ConsoleApplication1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   1.76528] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.79449] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.82396] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.84693] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.87738] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.88953] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   1.92359] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.95089] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   1.98207] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.98569] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   1.98661] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.98763] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.98852] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   1.99384] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   1.99469] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.99550] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   1.99634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   1.99885] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   1.99969] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.00042] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   2.00114] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.00235] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.00309] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.00366] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.00414] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.01287] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   2.01348] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.03892] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   2.18219] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.28149] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   2.33334] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.40349] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.43136] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.44458] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.45691] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.47299] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   2.50276] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.56562] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   2.60494] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.64731] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   2.73249] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.74914] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.75946] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.77210] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.78070] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.79692] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   2.80294] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.80939] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   2.81913] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.82307] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   2.82537] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.82706] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.82795] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.82876] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   2.82917] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.82963] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   2.82993] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.83035] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   2.83065] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.83089] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   2.83114] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83194] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83259] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83270] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83293] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83312] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83335] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83349] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83370] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83386] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83406] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83422] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83440] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83460] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83486] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83505] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83523] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83539] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83560] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83585] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83604] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83627] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83639] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83660] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83678] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83696] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83715] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83731] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83760] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83774] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83804] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83817] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83838] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.83853] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83869] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.83930] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.83973] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84048] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84081] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84116] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84149] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.84181] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84214] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.84246] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84279] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84309] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84380] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84453] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84498] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84544] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.84598] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84679] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.84738] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84761] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84792] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84829] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84871] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84903] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.84931] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.84991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.85019] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.85056] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.85112] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.85159] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.85178] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.85424] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.85624] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.85742] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.85764] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.85882] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.85903] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.85971] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   2.86034] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.86110] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.86122] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.86141] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.86150] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.86167] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   2.86187] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   2.86199] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.86219] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.86235] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.86259] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.86277] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.86304] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.86347] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.86450] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.86870] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.87018] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.87142] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.87215] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.87277] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.87333] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.87381] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.87430] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.87473] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.87520] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.87540] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.87611] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.87630] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.87714] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.87765] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.87785] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.87861] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.87909] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.87952] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.87997] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.88038] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.88058] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.88121] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.88141] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.88157] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.88232] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.88291] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.88419] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.88520] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.88982] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.89043] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89125] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.89142] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89166] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89192] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89212] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89234] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89254] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.89286] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89309] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.89328] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89351] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.89375] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89396] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89418] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89436] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89457] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89478] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.89500] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89519] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.89541] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89564] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.89588] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89613] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89638] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89663] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89685] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89712] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.89727] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89774] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   2.89792] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.89822] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   2.89844] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.89881] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.89925] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   2.90012] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   2.90146] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   2.90170] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   2.90190] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
