stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Diogo.DESKTOP-8OCSMG7\Documents\Opa\PI---Grupo-Austr-lia\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.20265] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20273] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20280] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20288] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20295] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20304] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20322] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20330] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20339] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20348] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20356] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20364] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20377] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20389] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20403] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20414] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20425] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20434] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20444] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20453] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20463] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20478] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20489] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20497] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20505] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20512] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20520] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20528] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20538] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20547] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20555] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20564] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20576] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20585] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20594] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20602] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20612] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20620] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20628] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20635] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20642] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.20649] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20667] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.20689] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20717] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.20726] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20737] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.20760] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20773] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20784] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20794] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20804] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20814] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20822] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20832] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20840] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20849] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20857] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20866] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20874] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20883] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20890] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20898] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20905] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20923] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20939] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20952] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20961] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20973] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20988] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21000] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21009] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21021] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21032] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21041] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21049] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21056] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21065] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21072] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21082] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21090] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21099] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21105] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21114] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21123] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21133] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21142] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21151] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21161] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21172] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21180] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21189] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21200] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21239] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21249] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21258] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21268] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21277] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21287] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21297] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21307] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21315] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21325] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21333] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21343] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21353] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21365] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21375] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21385] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21393] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21404] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21413] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21425] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21437] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21449] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21459] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21470] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21479] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21490] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21504] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21516] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21526] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21539] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21550] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21568] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21577] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21594] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21604] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21613] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21622] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21631] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21638] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21648] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21659] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21671] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.21679] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21687] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21694] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21702] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21712] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21723] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21732] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21741] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21752] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21761] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.21775] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21791] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21802] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21812] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21822] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21832] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21842] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21854] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21862] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21872] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.21881] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21890] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21898] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21907] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21915] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21923] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21930] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21937] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21948] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21960] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.21976] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21988] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22000] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22010] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22017] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22027] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.22035] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22044] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.22054] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22068] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.22080] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22091] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22100] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22111] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22121] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22130] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.22138] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22153] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.22162] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22172] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.22182] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22200] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22208] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22218] Score is : 769
